score
8.5
7.16
8.41
3.89
4.13
8.2
8.58
2.6
7.3
7.65
4.96
5.42
4.33
8.49
5.45
5.78
2.78
7.47
3.04
4.54
8.04
7.35
8.3
6.06
4.93
3.19
4.44
5.32
4.2
6.51
8.76
7.88
6.88
7.91
4.71
4.59
7.15
6.18
7.41
6.81
7.48
6.54
8.32
7.44
8.31
6.32
5.94
5.71
4.18
6.24
7.02
3.44
3.21
7.42
8.51
8.06
4.85
8.87
8.17
7.19
7.81
Visual novel
6.1
6.03
5.05
7.96
7.85
8.48
6.93
6.44
4.4
3.8
4.79
4.37
7.55
7.69
8.1
4.65
3.13
4.53
8.95
6.22
5.28
6.08
4.5
4.72
6.92
3.76
4.04
5.15
5.06
7.62
7.36
6.69
7.07
5.79
3.67
8.45
4.99
6.2
4.43
7.84
5.82
6.5
5.26
5.95
7.25
7.06
6.25
6.63
5.99
7.5
8.99
5.67
2.89
4.56
5.4
3.85
4.9
3.95
8.25
4.68
2.92
8.07
3.26
7.7
5.18
4.73
3.4
9.02
6.68
9.04
6.35
5.23
8.85
7.1
6.13
4.87
5.7
4.61
6.45
5.88
4.14
6.56
7.67
5.81
5.97
5.16
5.13
7.43
6.02
5.3
5.96
4.28
4.08
8.22
6.53
7.57
3.31
7.01
5.77
3.88
2.72
4.39
4.95
3.48
7.12
8.16
7.73
8.79
7.56
4.8
4.76
8.55
5.52
9.1
5.49
2.38
8.77
8.91
6.11
7.4
5.91
3.42
4.1
7.94
7.18
6.55
5.53
5.6
7.32
6.05
5.17
8.92
7.45
2.61
6.95
7.33
5.34
6.09
5.64
6.61
8.73
7.93
4.6
3.33
3.82
6.14
5.0
7.99
7.34
8.72
5.19
5.43
4.91
4.46
5.14
6.99
7.38
9.07
6.91
6.0
4.82
6.19
5.01
4.03
8.02
5.31
6.48
4.34
2.65
6.37
5.55
5.25
7.58
4.78
5.29
4.17
6.66
6.28
5.24
7.79
8.83
2.08
4.84
3.16
7.49
6.83
3.68
7.8
6.58
7.78
8.33
4.74
7.08
4.81
5.22
8.69
8.11
7.97
4.06
3.07
8.39
8.74
5.38
6.89
3.36
8.01
6.46
7.52
8.4
6.87
7.86
8.65
4.92
8.26
5.56
4.0
1.9
5.85
8.03
4.19
7.26
6.38
5.41
3.98
5.51
5.75
7.0
6.36
3.66
3.25
3.97
8.15
6.12
5.73
3.53
4.27
8.21
6.23
6.73
5.36
6.52
7.74
8.18
8.52
4.88
4.02
7.82
4.51
5.35
8.09
4.75
7.23
6.77
4.15
5.57
7.6
6.71
5.21
3.6
4.42
7.72
8.19
4.89
7.63
7.9
8.53
2.52
7.98
8.14
8.8
5.93
6.57
3.54
4.47
8.81
8.27
6.17
8.6
7.87
8.44
5.86
8.42
7.77
8.29
7.71
7.04
4.38
7.61
8.57
6.41
5.66
4.41
7.39
7.24
6.6
Game
6.9
5.68
5.89
4.36
4.24
7.51
8.38
2.33
3.73
8.88
8.37
4.63
4.55
4.52
5.65
7.95
6.21
5.92
4.31
4.69
8.54
7.13
8.59
2.88
6.62
5.46
7.92
7.31
7.29
6.39
6.94
5.04
8.12
7.14
6.84
5.03
6.49
7.76
9.14
6.67
4.97
7.21
5.27
9.19
6.47
6.79
3.43
7.22
3.7
7.89
6.85
7.28
5.69
4.98
3.65
7.27
6.15
4.58
8.0
8.62
4.94
8.66
5.72
5.63
4.21
9.25
7.37
6.29
6.01
5.37
5.02
5.84
5.39
7.66
5.47
5.74
4.77
5.5
4.7
5.09
5.2
3.27
8.34
7.83
6.16
4.62
6.3
3.49
8.71
6.31
6.76
5.07
5.8
8.46
5.76
3.52
4.35
6.75
6.98
8.08
5.61
9.15
5.54
6.04
8.67
7.54
5.87
9.01
6.59
7.09
6.8
8.63
7.64
5.62
8.75
8.23
5.48
7.03
6.72
4.11
6.82
6.34
5.1
5.12
7.68
5.44
3.69
3.64
8.35
6.74
5.59
6.07
4.64
4.26
7.17
8.05
4.32
3.51
6.27
7.05
7.46
5.83
4.45
3.79
6.96
7.59
9.11
5.08
4.83
4.57
6.33
3.71
8.28
5.58
7.11
8.47
5.33
4.67
8.24
8.56
6.86
8.43
6.26
7.75
6.7
6.97
6.43
4.05
8.13
6.78
6.64
6.65
5.9
3.77
7.2
6.42
5.11
6.4
8.36
3.38
7.53
5.98
8.64
4.01
